Numero de inscriptos    Nombre         Categ      SubCateg     TirosCentro    TirosNoCentro
1                       Pedro          2          1            3              9
2                       Juan           0          0            2              3
3                       Anibal         0          2            2              5
4                       Susana         1          0            2              8
5                       Candelaria     0          2            8              0
6                       Paola          0          2            9              8
7                       Cesar          0          2            4              1
8                       Alberto        0          2            7              3
9                       Ricardo        1          2            5              3
10                      Carlos         0          0            7              8
11                      Adabel         0          1            7              8
12                      Cecilia        0          1            3              5
13                      Armando        2          2            8              10
14                      Sergio         1          2            2              1
15                      Jose           0          0            0              1
16                      Juana          0          0            1              7
17                      Ana            1          1            0              5
18                      Ornella        1          1            6              0
19                      Javier         0          1            8              7
20                      Fabian         2          2            10             9
